" ;"" "";"" "";""SLOVENIJA"";""Zahodna Slovenija"";""..Obalno-kraška"";""..Goriška"";""..Gorenjska"";""..Osrednjeslovenska"";""Vzhodna Slovenija"";""..Notranjsko-kraška"";""..Jugovzhodna Slovenija"";""..Spodnjeposavska"";""..Zasavska"";""..Savinjska"";""..Koroška"";""..Podravska"";""..Pomurska""",,,
2000,,,
" ;""Mio EUR (fiksni teèaj 2007)""",,,
" ;"" "";""Skupaj dejavnosti"";16177;8748;909;955;1421;5464;7428;331;1043;498;296;1875;505;2143;737",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";543;162;15;37;38;73;381;27;68;30;6;74;24;84;68",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";4539;1966;153;298;522;994;2573;108;408;199;135;706;220;593;204",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";3954;1788;131;271;495;891;2166;103;393;113;86;560;195;526;191",,,
" ;"" "";""F Gradbeništvo"";1076;557;72;89;72;324;519;22;70;39;19;140;25;144;59",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";3040;1864;306;140;292;1126;1176;53;121;75;32;331;70;368;126",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";624;483;28;16;26;413;141;3;14;3;9;33;5;62;14",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";787;498;49;39;48;363;289;10;35;13;10;59;13;111;37",,,
" ;"" "";""L Poslovanje z nepremièninami"";1276;612;69;77;125;342;663;33;84;43;26;158;43;198;78",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";1146;705;40;41;65;558;442;18;93;23;15;79;23;170;21",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";2607;1519;135;130;196;1058;1088;47;136;67;37;249;72;365;116"
" ;"" "";""RSTU Druge dejavnosti"";539;382;42;90;37;213;158;10;15;8;7;46;10;49;13",,,
" ;""Struktura po regijah (Slovenija = 100%)""",,,
" ;"" "";""Skupaj dejavnosti"";100.0;54.1;5.6;5.9;8.8;33.8;45.9;2.0;6.4;3.1;1.8;11.6;3.1;13.2;4.6",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";100.0;29.9;2.7;6.8;6.9;13.5;70.1;4.9;12.5;5.6;1.1;13.6;4.5;15.4;12.6",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";100.0;43.3;3.4;6.6;11.5;21.9;56.7;2.4;9.0;4.4;3.0;15.6;4.8;13.1;4.5",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";100.0;45.2;3.3;6.8;12.5;22.5;54.8;2.6;9.9;2.8;2.2;14.2;4.9;13.3;4.8",,,
" ;"" "";""F Gradbeništvo"";100.0;51.8;6.7;8.3;6.7;30.1;48.2;2.0;6.5;3.6;1.8;13.0;2.3;13.4;5.5",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";100.0;61.3;10.1;4.6;9.6;37.0;38.7;1.7;4.0;2.5;1.0;10.9;2.3;12.1;4.1",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";100.0;77.4;4.5;2.5;4.2;66.1;22.6;0.5;2.2;0.5;1.4;5.3;0.8;9.9;2.2",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";100.0;63.3;6.2;4.9;6.1;46.1;36.7;1.3;4.4;1.6;1.3;7.5;1.7;14.1;4.7",,,
" ;"" "";""L Poslovanje z nepremièninami"";100.0;48.0;5.4;6.0;9.8;26.8;52.0;2.6;6.6;3.4;2.0;12.4;3.4;15.5;6.1",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";100.0;61.5;3.5;3.6;5.7;48.7;38.5;1.6;8.1;2.0;1.3;6.9;2.0;14.8;1.9",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";100.0;58.3;5.2;5.0;7.5;40.6;41.7;1.8;5.2;2.6;1.4;9.6;2.8;14.0;4.5"
" ;"" "";""RSTU Druge dejavnosti"";100.0;70.8;7.8;16.7;6.8;39.5;29.2;1.9;2.8;1.5;1.3;8.4;1.8;9.1;2.4",,,
" ;""Struktura po dejavnostih (%)""",,,
" ;"" "";""Skupaj dejavnosti"";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";3.4;1.9;1.6;3.9;2.6;1.3;5.1;8.1;6.5;6.1;2.1;3.9;4.8;3.9;9.3",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";28.1;22.5;16.8;31.2;36.7;18.2;34.6;32.7;39.1;39.8;45.6;37.6;43.6;27.7;27.7",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";24.4;20.4;14.4;28.3;34.8;16.3;29.2;31.0;37.7;22.6;29.0;29.9;38.7;24.5;25.9",,,
" ;"" "";""F Gradbeništvo"";6.7;6.4;7.9;9.3;5.1;5.9;7.0;6.6;6.7;7.8;6.5;7.5;5.0;6.7;8.0",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";18.8;21.3;33.6;14.7;20.6;20.6;15.8;16.0;11.6;15.0;10.8;17.7;13.8;17.2;17.1",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";3.9;5.5;3.1;1.6;1.8;7.6;1.9;0.8;1.3;0.6;2.9;1.8;0.9;2.9;1.9",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";4.9;5.7;5.4;4.0;3.4;6.6;3.9;3.2;3.3;2.5;3.5;3.1;2.6;5.2;5.0",,,
" ;"" "";""L Poslovanje z nepremièninami"";7.9;7.0;7.6;8.0;8.8;6.3;8.9;10.0;8.1;8.6;8.7;8.4;8.6;9.2;10.6",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";7.1;8.1;4.4;4.3;4.6;10.2;5.9;5.5;8.9;4.5;5.1;4.2;4.5;7.9;2.9",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";16.1;17.4;14.9;13.6;13.8;19.4;14.6;14.1;13.0;13.4;12.5;13.3;14.2;17.0;15.8"
" ;"" "";""RSTU Druge dejavnosti"";3.3;4.4;4.6;9.4;2.6;3.9;2.1;3.0;1.5;1.7;2.3;2.4;1.9;2.3;1.8",,,
2001,,,
" ;""Mio EUR (fiksni teèaj 2007)""",,,
" ;"" "";""Skupaj dejavnosti"";18173;9885;1012;1078;1615;6180;8288;359;1199;556;315;2071;571;2407;810",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";550;166;16;38;39;73;384;27;69;31;6;75;25;83;67",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";5136;2196;173;343;581;1099;2940;117;494;234;140;790;252;686;227",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";4460;1978;148;311;549;971;2482;110;481;128;94;629;222;606;211",,,
" ;"" "";""F Gradbeništvo"";1142;588;76;95;78;339;553;26;78;42;19;147;25;157;59",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";3458;2129;339;162;341;1287;1329;59;143;81;36;364;83;417;146",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";728;570;33;18;28;492;158;3;14;3;10;37;6;71;14",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";805;512;49;39;52;372;293;10;33;11;9;60;13;120;35",,,
" ;"" "";""L Poslovanje z nepremièninami"";1434;688;78;87;141;382;746;37;95;48;29;179;49;221;89",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";1317;861;47;44;76;694;456;18;86;23;16;82;26;178;27",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";3024;1756;157;149;224;1226;1268;54;170;74;42;291;83;421;133"
" ;"" "";""RSTU Druge dejavnosti"";580;419;44;103;56;216;160;9;15;8;7;46;10;53;12",,,
" ;""Struktura po regijah (Slovenija = 100%)""",,,
" ;"" "";""Skupaj dejavnosti"";100.0;54.4;5.6;5.9;8.9;34.0;45.6;2.0;6.6;3.1;1.7;11.4;3.1;13.2;4.5",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";100.0;30.2;2.9;6.9;7.0;13.3;69.8;5.0;12.6;5.6;1.1;13.7;4.5;15.1;12.2",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";100.0;42.8;3.4;6.7;11.3;21.4;57.2;2.3;9.6;4.6;2.7;15.4;4.9;13.4;4.4",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";100.0;44.3;3.3;7.0;12.3;21.8;55.7;2.5;10.8;2.9;2.1;14.1;5.0;13.6;4.7",,,
" ;"" "";""F Gradbeništvo"";100.0;51.5;6.7;8.3;6.8;29.7;48.5;2.3;6.9;3.7;1.7;12.9;2.2;13.7;5.2",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";100.0;61.6;9.8;4.7;9.8;37.2;38.4;1.7;4.1;2.3;1.0;10.5;2.4;12.1;4.2",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";100.0;78.3;4.5;2.4;3.8;67.5;21.7;0.4;1.9;0.4;1.4;5.1;0.8;9.8;2.0",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";100.0;63.6;6.1;4.9;6.4;46.2;36.4;1.3;4.1;1.4;1.2;7.4;1.7;14.9;4.4",,,
" ;"" "";""L Poslovanje z nepremièninami"";100.0;48.0;5.5;6.1;9.8;26.6;52.0;2.6;6.6;3.4;2.0;12.5;3.4;15.4;6.2",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";100.0;65.4;3.6;3.4;5.8;52.7;34.6;1.3;6.5;1.8;1.2;6.2;2.0;13.5;2.1",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";100.0;58.1;5.2;4.9;7.4;40.5;41.9;1.8;5.6;2.5;1.4;9.6;2.8;13.9;4.4"
