1960;1580535
1961;1588904
1962;1599357
1963;1607941
1964;1626000
1965;1638227
1966;1660092
1967;1679717
1968;1699339
1969;1709752
1970;1719906
1971;1731787
1972;1744882
1973;1759584
1974;1773809
1975;1790229
1976;1808707
1977;1831790
1978;1852963
1979;1872133
1980;1893064
1981;1909566
1982;1924690
1983;1929292
1984;1937588
1985;1948577
1986;1975273
1987;1985486
1988;1994066
1989;1996325
1990;1996377
1991;1999945
1992;1998912
1993;1994084
1994;1989408
1995;1989477
1996;1990266
1997;1986989
1998;1984923
1999;1978334
2000;1987755
2001;1990094
2002;1994026
2003;1995033
2004;1996433
2005;1997590
2006;2003358
2007;2010377
2008;2025866
2009;2032362
2010;2046976
2011;2050189
2012;2055496
2013;2058821
